year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2019,DE,1430,324220,115882554,9716990,5911291,3593472,0.369813,-212227,3805699,-148.4104895,-0.654577139
2019,FL,4879,2356602,1013217010,80174201,46111058,54011349,0.673674,19948206,34063143,4088.584956,8.464817564
2019,GA,14199,2724852,1517715390,166916260,105042342,205558451,1.231506,143684533,61873918,10119.34171,52.73113292
2019,HI,92,15813,42734713,837219,495404,2102860,2.51172,1761045,341815,19141.79348,111.3669133
2019,IA,118261,21797400,12007404250,634445904,341410792,278615908,0.439148,-14419204,293035112,-121.9269582,-0.661510272
2019,ID,5157,3826060,961994433,62076497,33702600,41708354,0.671886,13334457,28373897,2585.700407,3.485166725
2019,IL,121179,19573424,10505609228,671632914,386722728,691923590,1.03021,407013404,284910186,3358.778369,20.79418522
2019,IN,46338,9639882,4915950594,358818126,203414703,441164783,1.229494,285761360,155403423,6166.890241,29.64365746
2019,KS,112954,20732473,4888251180,694490773,433186302,296066529,0.426307,34762058,261304471,307.7541123,1.676696166
2019,KY,16147,3462019,1559563251,154329772,99877571,141120983,0.914411,86668782,54452201,5367.485106,25.03417283
2019,LA,7484,2921963,1100484386,83113333,56677986,133134900,1.601847,106699553,26435347,14257.02205,36.51639429
2019,MA,432,23724,48616950,4076337,2581689,1872814,0.459435,378166,1494648,875.3842593,15.9402293
2019,MD,3950,842475,304329590,29275952,18560405,12065536,0.412131,1349989,10715547,341.7693671,1.60240838
2019,ME,419,104755,83363742,9857921,6560939,9273019,0.940666,5976037,3296982,14262.61814,57.04774951
2019,MI,20857,4141387,1717611090,156654709,101449829,298979864,1.908527,243774984,55204880,11687.92175,58.86312581
2019,MN,74948,17575201,8103711819,583176698,358539892,808723551,1.386755,584086745,224636806,7793.22657,33.23357411
2019,MO,51869,10072675,3382743812,406638972,261687119,464958675,1.143418,320006822,144951853,6169.51979,31.76979521
2019,MS,7670,3799184,1331376140,127164184,87695166,215337379,1.69338,175868361,39469018,22929.38214,46.29108803
2019,MT,13198,10521294,1090354877,161754352,99071055,115404382,0.713454,52721085,62683297,3994.626837,5.010893622
2019,NC,17307,3485886,1499276680,183227620,116318219,246858962,1.34728,179949561,66909401,10397.50165,51.62233102
2019,ND,53319,23675185,5682107550,845949865,585124961,925935087,1.09455,665110183,260824904,12474.16836,28.09313562
2019,NE,78333,18086655,7503093196,532121016,314649634,249009672,0.467956,31538290,217471382,402.6181814,1.743732603
2019,NH,63,6383,3746387,368975,245247,204080,0.553099,80352,123728,1275.428571,12.58843804
2019,NJ,953,151919,81737989,6051403,4321947,6144242,1.015341,4414786,1729456,4632.514166,29.06013073
2019,NM,1974,15148783,370701577,65357660,37462306,54938391,0.84058,27043037,27895354,13699.61348,1.785162346
2019,NV,360,19223882,250388104,59549562,32420710,44744620,0.751384,17615768,27128852,48932.68889,0.916348113
2019,NY,4509,1087007,548242333,55808390,36371466,80291580,1.4387,60854656,19436924,13496.26436,55.98368364
2019,OH,43594,7132262,3057303759,243412140,145650611,520774287,2.139475,423012758,97761529,9703.462816,59.30976148
2019,OK,17845,6568131,867281997,179496771,118352883,123949591,0.690539,62805703,61143888,3519.512637,9.562187934
2019,OR,3185,6281993,542084271,53936230,30139619,42335401,0.784915,18538790,23796611,5820.656201,2.951100073
2019,PA,7908,1166703,472230605,56469982,38145127,37042861,0.655974,18718006,18324855,2366.970916,16.0435055
2019,RI,27,1059,1222882,97043,64456,115243,1.187545,82656,32587,3061.333333,78.0509915
2019,SC,5388,1219839,467839521,87064412,57042632,100034462,1.14897,70012682,30021780,12994.18745,57.39501852
2019,SD,50024,18172528,4341320899,651153234,457290104,1095038862,1.681691,901175732,193863130,18014.8675,49.59000377
2019,TN,11091,2874380,990027919,93126691,62645532,64467817,0.692259,33986658,30481159,3064.345686,11.82399613
2019,TX,67096,39025588,4797538146,1021902378,686264432,1225755716,1.199484,890117770,335637946,13266.33138,22.8085678
2019,UT,912,11702143,108919017,21903216,11999766,16020884,0.731439,6117434,9903450,6707.712719,0.522761857
2019,VA,6284,1233459,484989250,60187552,39290220,47077736,0.782183,26180404,20897332,4166.200509,21.22519192
2019,VT,283,70004,23028457,2467348,1627589,3190716,1.293176,2350957,839759,8307.268551,33.58318096
2019,WA,11286,3603411,2633150022,141120509,77402852,109392210,0.775168,45674553,63717657,4047.009835,12.67536592
2019,WI,29973,5192090,2380199328,221406384,145542755,247793528,1.119179,171929899,75863629,5736.159177,33.11381332
2019,WV,307,50657,19914577,2013133,1337539,806393,0.400566,130799,675594,426.0553746,2.582051839
2019,WY,1863,5741772,152735953,20854179,11835866,19288812,0.924937,10270499,9018313,5512.881911,1.788733339
2020,AK,13,5495,755384,84693,66076,21770,0.257046,3153,18617,242.5384615,0.573794359
2020,AL,7314,1374938,564347356,68258289,45050763,76352296,1.118579,53144770,23207526,7266.170358,38.65248469
2020,AR,17020,5705556,2034347636,161776716,108660975,270994972,1.675117,217879231,53115741,12801.36492,38.18720402
2020,AZ,1253,30173359,495926577,97014648,52668557,159346982,1.642504,115000891,44346091,91780.43974,3.811338704
2020,CA,22278,8943113,8927280522,434585693,262309985,614008666,1.412859,441732958,172275708,19828.21429,49.39364604
2020,CO,14315,9551015,1076160348,174558223,104790972,260587173,1.492838,190819922,69767251,13330.0679,19.97902024
2020,CT,214,18454,32998439,8161526,5378758,4063438,0.497877,1280670,2782768,5984.439252,69.3979625
2020,DE,1512,317989,116597060,8857063,5411480,2294479,0.259056,-1151104,3445583,-761.3121693,-3.619949118
2020,FL,5454,2466537,1243377941,104755666,60600045,96656617,0.922686,52500996,44155621,9626.145215,21.28530648
2020,GA,17216,2707910,1635210166,176577747,109719683,144126541,0.816221,77268477,66858064,4488.178264,28.53435934
2020,HI,99,16345,45720680,883671,523074,2176383,2.462888,1815786,360597,18341.27273,111.0912206
2020,IA,117081,21825801,11984764636,609744506,329627136,618511324,1.014377,338393954,280117370,2890.255071,15.50430859
2020,ID,5347,5586780,966359991,66478458,35984694,42821862,0.644146,12328098,30493764,2305.610249,2.206655354
2020,IL,121433,19695263,10947613882,643890312,372952851,178864222,0.277786,-92073239,270937461,-758.2225507,-4.674892587
2020,IN,46249,9686500,5094188511,343700653,195975813,68877620,0.2004,-78847220,147724840,-1704.841618,-8.13990812
2020,KS,108742,20228145,4610492291,632264752,396316065,247932243,0.392133,11983556,235948687,110.2017252,0.592419918
2020,KY,15984,3462946,1530686667,149796004,96192550,101574128,0.678083,47970674,53603454,3001.168293,13.85256195
2020,LA,7806,2915113,1199293434,88030465,59677467,124128389,1.410061,95775391,28352998,12269.45824,32.85477819
