,year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
56,2015,CT,215,19776,26234417,4974279,3030447,2310603,0.46451,366771,1943832,1705.911628,18.5462682
57,2015,DE,1604,313439,113018155,9921294,6066815,2347804,0.236642,-1506675,3854479,-939.3235661,-4.806916178
58,2015,FL,5661,2439818,1037669201,63937851,40165736,42389973,0.662987,18617858,23772115,3288.793146,7.630838858
59,2015,GA,15788,2526485,1243466449,152400251,98126426,99645769,0.653842,45371944,54273825,2873.824677,17.95852499
60,2015,HI,114,29170,87965719,1606709,971514,626491,0.389921,-8704,635195,-76.35087719,-0.298388756
61,2015,IA,127051,22135693,11816755066,722748857,378813631,146910934,0.203266,-197024292,343935226,-1550.749636,-8.900751018
62,2015,ID,6049,2228579,963235743,55968581,31209215,60991652,1.089748,36232286,24759366,5989.797653,16.25802182
63,2015,IL,123237,19130820,9869924700,693652392,388797626,474637171,0.684257,169782405,304854766,1377.690182,8.874810646
64,2015,IN,46557,9295355,4666881332,369791602,205677532,458213834,1.239113,294099764,164114070,6316.982709,31.63943324
65,2015,KS,122831,19122568,4417272099,649573731,397151908,352117881,0.542075,99696058,252421823,811.6522539,5.213528748
66,2015,KY,17029,3313378,1447270040,145272294,92187827,99919430,0.687807,46834963,53084467,2750.306125,14.13511015
67,2015,LA,7924,2864045,892716289,73388028,52955069,84232745,1.147772,63799786,20432959,8051.46214,22.27611158
68,2015,MA,446,25188,33744901,2608512,1697865,1841786,0.706067,931139,910647,2087.755605,36.96756392
69,2015,MD,4639,878498,293048845,31348985,19858330,8278023,0.26406,-3212632,11490655,-692.5268377,-3.656959948
70,2015,ME,491,122766,81837010,9642645,6400556,9051364,0.93868,5809275,3242089,11831.51731,47.31990128
71,2015,MI,22593,4197584,1787296246,169930960,109879440,78635960,0.462752,18584440,60051520,822.5751339,4.427413484
72,2015,MN,81997,17721606,7957526087,629910690,378109552,91092247,0.144611,-160708891,251801138,-1959.936229,-9.068528609
73,2015,MO,54250,9252768,2967671922,387672153,248748833,525478211,1.35547,386554891,138923320,7125.435779,41.7772164
74,2015,MS,8247,3633028,1145840407,116240090,83079659,120319695,1.035096,87159264,33160431,10568.6024,23.99080436
75,2015,MT,15076,10041583,1082190329,151391286,92320949,121188106,0.800495,62117769,59070337,4120.308371,6.186053434
76,2015,NC,18718,3543065,1522929765,163600435,106303442,247852690,1.514987,190555697,57296993,10180.34496,53.78272682
77,2015,ND,58659,23099185,5129590340,856016073,572898268,315925914,0.369065,32808109,283117805,559.3022213,1.42031457
78,2015,NE,88328,16864743,7158092702,557918475,314403164,186922392,0.335035,-56592919,243515311,-640.7132393,-3.355694125
