year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2018,TX,70713,38034812,5162895142,1145035596,781329112,1641892480,92.396683,1278185996,363706484,18075.68617,33.60568723
2018,UT,581,5282086,72603905,13487216,7531648,17402792,17.548355,11447224,5955568,19702.62306,2.167178649
2018,VA,6503,1224494,504010433,64353739,42708940,45677917,56.418432,24033118,21644799,3695.697063,19.62697898
2018,VT,310,70982,25148497,2872955,1899573,1305880,9.183982,332498,973382,1072.574194,4.684257981
2018,WA,11419,3274397,2470160356,132345782,73610233,51693705,20.49374,-7041844,58735549,-616.6778177,-2.150577343
2018,WI,31026,5236412,2373669295,209481935,138224169,112136653,38.009228,40878887,71257766,1317.568717,7.806659789
2018,WV,317,51276,19621592,2129886,1397850,1766815,35.723861,1034779,732036,3264.287066,20.18057181
2018,WY,1970,4002142,144779553,19879866,11194070,12507609,11.997597,3821813,8685796,1940.006599,0.954941879
2019,AK,12,5782,889037,97232,75798,14310,1.017656,-7124,21434,-593.6666667,-1.23209962
2019,AL,6393,1418198,544293684,66621502,44374517,60766337,48.453076,38519352,22246985,6025.238855,27.16077163
2019,AR,17268,5731585,1795265773,154732790,103796460,319194774,54.627799,268258444,50936330,15535.00371,46.80353585
2019,AZ,1182,28811394,483524730,92663263,50574947,59615285,41.787633,17526969,42088316,14828.23096,0.60833464
2019,CA,22462,8833629,8001490335,394345621,239780061,362931744,90.758899,208366184,154565560,9276.386074,23.58783508
2019,CO,14048,8560791,1102840834,174348529,105972429,96627087,23.902316,28250987,68376100,2011.032674,3.300044003
2019,CT,209,18577,30995371,7869830,5003496,678744,14.635544,-2187590,2866334,-10466.9378,-117.7579803
2019,DE,1430,324220,115882554,9716990,5911291,3593472,7.341001,-212227,3805699,-148.4104895,-0.654577139
2019,FL,4879,2356602,1013217010,80174201,46111058,54011349,32.341099,19948206,34063143,4088.584956,8.464817564
2019,GA,14198,2724815,1517683353,166911103,105038515,205531981,50.960089,143659393,61872588,10118.28377,52.72262264
2019,HI,92,15812,42731983,837154,495368,2100130,8.181348,1758344,341786,19112.43478,111.2031369
2019,IA,118261,21797400,12007408332,634445960,341410836,278615908,28.89305,-14419216,293035124,-121.9270596,-0.661510822
2019,ID,5157,3826060,961994433,62076497,33702600,41708354,17.913687,13334457,28373897,2585.700407,3.485166725
2019,IL,121179,19573840,10507287041,671685628,386758378,691759691,90.677297,406832441,284927250,3357.285016,20.78449814
2019,IN,46338,9639882,4915950594,358818126,203414703,441135698,61.678133,285732275,155403423,6166.262571,29.64064031
2019,KS,112951,20730769,4887423906,694407829,433136848,295579438,23.80011,34308457,261270981,303.7463767,1.654953417
2019,KY,16148,3462144,1559604949,154333390,99880357,141123679,91.657992,86670646,54453033,5367.268145,25.03380737
2019,LA,7484,2921963,1100484386,83113333,56677986,133134900,56.013286,106699553,26435347,14257.02205,36.51639429
2019,MA,432,23724,48616950,4076337,2581689,1872814,8.385076,378166,1494648,875.3842593,15.9402293
2019,MD,3950,842475,304329590,29275952,18560405,12065536,26.311105,1349989,10715547,341.7693671,1.60240838
2019,ME,419,104755,83363742,9857921,6560939,9273019,14.144018,5976037,3296982,14262.61814,57.04774951
2019,MI,20858,4142043,1722016190,157097277,101710937,299477797,84.920335,244091457,55386340,11702.53414,58.93020835
2019,MN,74945,17574983,8103645306,583166694,358532896,808699744,137.651551,584065946,224633798,7793.261005,33.2328029
2019,MO,51869,10072675,3382743812,406638972,261687119,464958675,43.295038,320006822,144951853,6169.51979,31.76979521
2019,MS,7670,3799184,1331376140,127164184,87695166,215311366,64.902712,175842348,39469018,22925.99061,46.28424104
2019,MT,13198,10521294,1090354877,161754352,99071055,115401885,39.08137,52718588,62683297,3994.437642,5.010656294
2019,NC,17307,3485886,1499277580,183227631,116318230,246858962,54.634666,179949561,66909401,10397.50165,51.62233102
2019,ND,53318,23673826,5681806106,845891745,585090541,925867695,52.65458,665066491,260801204,12473.58286,28.09290273
2019,NE,78333,18086653,7503101656,532121455,314650421,248999916,36.250295,31528882,217471034,402.4980787,1.743212633
2019,NH,63,6383,3746387,368975,245247,204080,3.800687,80352,123728,1275.428571,12.58843804
2019,NJ,953,151919,81737989,6051403,4321947,6144242,33.887834,4414786,1729456,4632.514166,29.06013073
2019,NM,1974,15148783,370701577,65357660,37462306,54923163,47.771662,27027809,27895354,13691.89919,1.784157117
2019,NV,360,19223882,250388104,59549562,32420710,44744620,0.826262,17615768,27128852,48932.68889,0.916348113
2019,NY,4509,1087007,548242333,55808390,36371466,80291580,44.298829,60854656,19436924,13496.26436,55.98368364
2019,OH,43594,7132262,3057303759,243412140,145650611,520774287,98.334949,423012758,97761529,9703.462816,59.30976148
2019,OK,17845,6568131,867281997,179496771,118352883,123949591,29.159523,62805703,61143888,3519.512637,9.562187934
2019,OR,3185,6281993,542084271,53936230,30139619,42335401,44.905346,18538790,23796611,5820.656201,2.951100073
2019,PA,7908,1166668,472221000,56469184,38145127,37042861,28.549249,18718804,18324057,2367.071826,16.04467081
2019,RI,27,1059,1222882,97043,64456,115243,4.702048,82656,32587,3061.333333,78.0509915
2019,SC,5388,1219839,467839521,87064412,57042632,100034462,33.993692,70012682,30021780,12994.18745,57.39501852
2019,SD,50024,18172528,4341320899,651153234,457290104,1094864075,47.504649,901000945,193863130,18011.37344,49.58038557
2019,TN,11091,2874380,990027919,93126691,62646184,64467817,50.828983,33987310,30480507,3064.404472,11.82422296
2019,TX,67098,39026267,4798469841,1022161237,686409763,1226120515,86.820926,890369041,335751474,13269.68078,22.81460948
2019,UT,912,11702143,108919017,21903216,11999766,16020884,21.645484,6117434,9903450,6707.712719,0.522761857
2019,VA,6284,1233459,484989250,60187552,39290220,47077736,62.090448,26180404,20897332,4166.200509,21.22519192
2019,VT,283,70004,23028457,2467348,1627589,3190716,23.87922,2350957,839759,8307.268551,33.58318096
2019,WA,11286,3603411,2633150022,141120509,77402852,109392210,37.606236,45674553,63717657,4047.009835,12.67536592
2019,WI,29973,5192090,2380199328,221406384,145542755,247793528,78.921202,171929899,75863629,5736.159177,33.11381332
2019,WV,307,50657,19914577,2013133,1337539,806393,10.80031,130799,675594,426.0553746,2.582051839
2019,WY,1863,5741772,152735953,20854179,11835866,19288812,16.387202,10270499,9018313,5512.881911,1.788733339
2020,AK,13,5495,755384,84693,66076,21770,0.449338,3153,18617,242.5384615,0.573794359
2020,AL,7314,1374938,564377561,68259123,45051358,76352296,61.974168,53144531,23207765,7266.137681,38.65231087
