old_fips_code,old_county_name,old_county_acres_2023,new_fips_code,new_region_name,new_region_acres_2024,allocation_weight,notes
09001,Fairfield,49,09109,Western CT,183,1.0,Acreage-weighted allocation
09003,Hartford,5231,09101,Capitol,7435,1.0,Complete 1:1 mapping
09005,Litchfield,3018,09106,Northwest Hills,1797,1.0,Complete 1:1 mapping
09007,Middlesex,178,09103,Lower CT River Valley,187,1.0,Complete 1:1 mapping
09009,New Haven,670,09104,Naugatuck Valley,1045,0.7119,Acreage-weighted allocation
09009,New Haven,670,09107,South Central CT,423,0.2881,Acreage-weighted allocation
09011,New London,3925,09108,Southeastern CT,4015,1.0,Complete 1:1 mapping
09013,Tolland,2360,09101,Capitol,7435,1.0,Complete 1:1 mapping
09015,Windham,4620,09105,Northeastern CT,4431,1.0,Complete 1:1 mapping
