year,region,region_fips,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,net_benefit,farmer_premium,loss_ratio,benefit_by_pol,benefit_by_acre
2014,Capitol,09901,102.827,6283.028,16078211.5264,3215306.3906000005,1948830.707,1926830.9428,660355.2592,1266475.6836,0.5992682216640757,6422.00257908915,105.10143504055686
2014,Lower CT River Valley,09903,8.147,317.496,946500.8470000001,159007.999,112667.903,71895.449,25555.353,46340.096,0.452149888383917,3136.7807782005643,80.49031483861214
2014,Naugatuck Valley,09904,11.996599999999999,500.06879999999995,935052.2566,151424.24219999998,104074.2934,26186.0522,-21163.8966,47349.9488,0.17293170379821787,-1764.1578947368423,-42.3219696969697
2014,Northeastern CT,09905,61.6504,9694.3588,4434448.0182,416545.30980000005,262228.1026,214235.6472,59918.44,154317.2072,0.5143153509587302,971.9067516188055,6.1807532850960705
2014,Northwest Hills,09906,41.1786,3839.6348,4574431.318,806891.526,495939.86679999996,507260.63320000004,196308.974,310951.6592,0.6286602558768228,4767.257118988989,51.126991035709956
2014,South Central CT,09907,4.8564,202.4352,378522.89639999997,61298.758799999996,42130.8036,10600.4988,-8567.4564,19167.9552,0.17293170379821785,-1764.157894736842,-42.32196969696969
2014,Southeastern CT,09908,13.3112,2068.9408,796607.3378,45778.1676,30754.5768,863.3264,-14160.2644,15023.5908,0.018858911250960602,-1063.7857142857142,-6.84420955882353
2014,Western CT,09909,6.0328,373.0376,234653.7996,32787.606,20843.7468,79762.4504,67818.5912,11943.859199999999,2.4327012591282204,11241.644211643017,181.8009530406586
2015,Capitol,09901,86.89620000000001,4740.5778,15225136.0242,3326624.9828000003,1991239.1408,1815230.6639999999,479844.822,1335385.8420000002,0.5456673575727586,5522.0460963770565,101.22074612930095
2015,Lower CT River Valley,09903,6.808,262.953,888092.074,158298.045,110163.709,1232.83,-46901.506,48134.336,0.007788030483888792,-6889.175381903643,-178.3645974755945
2015,Naugatuck Valley,09904,10.1024,429.98339999999996,998936.6771999999,176138.501,119014.48019999999,6888.574,-50235.4468,57124.0208,0.03910884878031294,-4972.625,-116.83113069016153
2015,Northeastern CT,09905,53.3426,8448.761999999999,3426166.0608,328789.7152,208308.891,3214.2272000000003,-117266.59700000001,120480.8242,0.009775935959690264,-2198.366727531092,-13.879737291688418
2015,Northwest Hills,09906,36.120599999999996,3503.6184,4469114.3127999995,848033.6818,511151.8798,472419.7668,135537.9648,336881.80199999997,0.5570766550183031,3752.373017059517,38.68513899801417
2015,South Central CT,09907,4.0896,174.0636,404384.2488,71303.454,48178.8108,2788.596,-20336.0472,23124.6432,0.03910884878031294,-4972.625,-116.83113069016153
2015,Southeastern CT,09908,11.885,1879.2562,611285.959,32180.3014,21625.946,0.0,-10554.3554,10554.3554,0.0,-888.0400000000001,-5.616240829749557
2015,Western CT,09909,5.755599999999999,336.7856,211301.6432,32910.3188,20764.1424,8828.342,-3317.8344,12146.1764,0.2682545269054033,-576.4532629091668,-9.85147345967286
2016,Capitol,09901,80.6318,4320.6292,11762278.442400001,3123998.5426000003,1893270.7406,1327188.9682,96461.16619999999,1230727.8020000001,0.42483661567121755,1196.3166666253264,22.325721957348247
2016,Lower CT River Valley,09903,7.695,283.026,818905.798,159186.805,110809.424,131177.816,82800.435,48377.381,0.8240495561174181,10760.29044834308,292.55416463505117
2016,Naugatuck Valley,09904,9.471,380.1028,814029.9243999999,170152.829,113050.90719999999,141706.36479999998,84604.443,57101.9218,0.8328181531439597,8933.0,222.58305647840533
2016,Northeastern CT,09905,48.4938,7873.9164,3116522.0138,358112.8582,225444.37099999998,343538.4118,210869.9246,132668.48719999997,0.9593020857356078,4348.38937348692,26.780818323140945
2016,Northwest Hills,09906,35.666,3401.8314,3386444.0716,767728.8368,468063.99199999997,458311.05480000004,158646.21,299664.84479999996,0.5969699623506444,4448.107721639657,46.63552990897785
2016,South Central CT,09907,3.834,153.8712,329531.2776,68880.366,45764.6688,57364.8192,34249.121999999996,23115.6972,0.8328181531439598,8932.999999999998,222.5830564784053
2016,Southeastern CT,09908,12.3604,1808.897,531600.3618,28959.4664,19531.333599999998,6635.6332,-2792.4996,9428.1328,0.22913520257403638,-225.92307692307693,-1.5437582128777925
2016,Western CT,09909,3.848,337.726,174205.1104,30566.296000000002,19369.5628,98040.932,86844.1988,11196.733199999999,3.20748487157227,22568.658731808733,257.1439533823277
2017,Capitol,09901,86.3598,4558.7858,14188647.3568,3606320.6388,2219317.2482000003,1886181.8448,499178.45420000004,1387003.3906,0.5230211159004501,5780.217811991228,109.49811552892002
2017,Lower CT River Valley,09903,8.695,355.631,728843.87,141244.744,97962.962,1045.928,-42235.854,43281.782,0.007405075547448336,-4857.487521564117,-118.76313932137525
2017,Naugatuck Valley,09904,9.471,433.7718,709687.286,150076.2032,99934.2036,5844.238399999999,-44297.7612,50141.999599999996,0.03894180606509373,-4677.2,-102.12227074235808
2017,Northeastern CT,09905,49.4136,7494.0502,3255050.7492,381849.7204,242494.08719999998,56462.0032,-82893.63,139355.63319999998,0.147864461288211,-1677.5468696876974,-11.061258970483012
2017,Northwest Hills,09906,37.352000000000004,3178.9064,3802531.8661999996,849672.5996,523614.2748,477006.3636,150948.03879999998,326058.3248,0.5614001955865825,4041.2304240736767,47.484266538958174
2017,South Central CT,09907,3.834,175.5972,287291.844,60753.0528,40454.8344,2365.8336,-17932.3848,20298.218399999998,0.03894180606509374,-4677.2,-102.12227074235808
2017,Southeastern CT,09908,10.9342,1453.7731999999999,482297.5786,22880.051199999998,15377.763799999999,1975.7623999999998,-5526.525,7502.2874,0.08635305851063829,-505.43478260869557,-3.801504251144539
2017,Western CT,09909,3.9404,311.4844,153204.4492,27134.989999999998,17198.626,2182.026,-7754.338,9936.364,0.08041373886631246,-1967.9063039285352,-24.894787668339088
